Nome do artefato,Caminho,Linha e Coluna,Descrição da regra,Correlação RN MD,Descrição do gap,Não encontrado no código,Não encontrado no MD,BDD,Tipo de Regra,Nível de Criticidade,Status,Perfil,Contexto de Negócio
Asset,prisma/schema.prisma,28:28,Status padrão do Ativo ao ser criado é DISPONIVEL,RN-AD-001,,Não,Não,"Dado que um novo Ativo é criado, Então seu status deve ser DISPONIVEL",Ciclo de Vida,Média,Implementado,Sistema,Ativos
Asset,prisma/schema.prisma,103:103,Relação entre Ativo e Lote permite que Ativos sejam vinculados a Lotes,RN-AD-012,,Não,Não,"Dado que um Ativo existe, Quando é associado a um Lote, Então o vínculo é registrado em AssetsOnLots",Integridade de Dados,Alta,Implementado,Admin,Leilão
Auction,prisma/schema.prisma,117:117,Status padrão do Leilão ao ser criado é RASCUNHO,RN-AD-010,,Não,Não,"Dado que um novo Leilão é criado, Então seu status deve ser RASCUNHO",Ciclo de Vida,Média,Implementado,Admin,Leilão
Auction,prisma/schema.prisma,123:123,Método padrão de leilão é STANDARD,RN-020,,Não,Não,"Dado que um leilão é criado sem especificar método, Então o método deve ser STANDARD",Configuração,Baixa,Implementado,Admin,Leilão
Auction,prisma/schema.prisma,124:124,Participação padrão do leilão é ONLINE,RN-017,,Não,Não,"Dado que um leilão é criado sem especificar participação, Então deve ser ONLINE",Configuração,Baixa,Implementado,Admin,Leilão
Auction,prisma/schema.prisma,146:146,Configuração de Soft Close no leilão para evitar sniping,RN-AD-005,,Não,Não,"Dado um leilão com Soft Close habilitado, Quando um lance é dado no fim do prazo, Então o tempo é estendido",Tempo Real,Alta,Implementado,Leiloeiro,Leilão
AuctionHabilitation,prisma/schema.prisma,186:186,Usuário deve se habilitar em cada leilão individualmente para dar lances,RN-AD-007,,Não,Não,"Dado um usuário autenticado, Quando tenta dar um lance, Então deve possuir registro em AuctionHabilitation para aquele leilão",Segurança/Elegibilidade,Bloqueante,Implementado,Arrematante,Leilão
Bid,prisma/schema.prisma,232:232,Status padrão do Lance é ATIVO,RN-AD-002,,Não,Não,"Dado que um lance é realizado com sucesso, Então seu status inicial deve ser ATIVO",Transacional,Alta,Implementado,Arrematante,Lances
Bid,prisma/schema.prisma,243:243,Origem padrão do lance é MANUAL,RN-AD-002,,Não,Não,"Dado que um lance é realizado pelo usuário, Então a origem deve ser registrada como MANUAL",Auditoria,Baixa,Implementado,Arrematante,Lances
Bid,prisma/schema.prisma,251:251,Chave de idempotência única por tenant para evitar lances duplicados,RN-001,,Não,Não,"Dado que um lance é enviado, Quando possui uma chave de idempotência já processada, Então o lance duplicado é rejeitado",Segurança/Integridade,Alta,Implementado,Sistema,Lances
Lot,prisma/schema.prisma,546:546,Status padrão do Lote ao ser criado é EM_BREVE,RN-AD-012,,Não,Não,"Dado que um novo Lote é criado, Então seu status deve ser EM_BREVE",Ciclo de Vida,Média,Implementado,Admin,Lote
PlatformSettings,prisma/schema.prisma,824:824,Flag isSetupComplete controla se o setup inicial foi concluído,RN-016,,Não,Não,"Dado que o sistema inicia, Quando isSetupComplete for falso, Então o usuário deve ser redirecionado para o setup",Configuração,Bloqueante,Implementado,Admin,Sistema
RealtimeSettings,prisma/schema.prisma,903:903,Habilitação de Blockchain para registro imutável de transações,RN-REALTIME-001,,Não,Não,"Dado que o Blockchain está habilitado, Então as transações críticas devem ser registradas na rede configurada",Segurança,Alta,Implementado,Admin,Sistema
VariableIncrementRule,prisma/schema.prisma,1178:1178,Regras de incremento variável baseadas em faixas de valor,RN-AD-003,,Não,Não,"Dado um valor de lote em uma faixa X, Quando o próximo lance é calculado, Então deve seguir o incremento definido para essa faixa",Financeiro/Cálculo,Alta,Implementado,Sistema,Lances
Role,prisma/seed.ts,101:101,Definição de permissões granulares por papel (ADMIN, ANALYST, etc),RN-010,,Não,Não,"Dado um usuário com papel de BIDDER, Quando tenta acessar áreas administrativas, Então o acesso deve ser negado",Segurança/Acesso,Bloqueante,Implementado,Admin,Segurança
Tenant,prisma/seed.ts,84:84,Tenant 1 é reservado para a plataforma principal (Lordland),RN-001,,Não,Não,"Dado o ID do tenant igual a 1, Então o sistema identifica como a plataforma principal",Multi-tenant,Alta,Implementado,Sistema,Sistema
LotService,src/services/lot.service.ts,11:13,Lotes só podem ser abertos se possuírem pelo menos 1 Ativo vinculado,RN-AD-012,,Não,Não,"Dado um Lote em RASCUNHO, Quando o usuário tenta alterar para ABERTO_PARA_LANCES e o Lote não tem Ativos, Então a transição deve ser bloqueada",Integridade de Dados,Alta,Implementado,Admin,Lotes
LotService,src/services/lot.service.ts,14:14,Lote só abre se o Leilão estiver ABERTO ou ABERTO_PARA_LANCES,RN-AD-012,,Não,Não,"Dado um Leilão em RASCUNHO, Quando um Lote vinculado tenta ser aberto, Então a transição é bloqueada",Integridade de Dados,Alta,Implementado,Admin,Lotes
LotService,src/services/lot.service.ts,116:116,Ao vincular Ativo ao Lote o status do Ativo muda para LOTEADO automaticamente,RN-AD-001,,Não,Não,"Dado um Ativo DISPONIVEL, Quando é vinculado a um Lote, Então seu status muda para LOTEADO",Ciclo de Vida,Média,Implementado,Admin,Ativos
LotService,src/services/lot.service.ts,144:144,Ao desvincular Ativo do Lote ele volta a ser DISPONIVEL se não houver outros vínculos,RN-AD-001,,Não,Não,"Dado um Ativo LOTEADO, Quando é removido do único Lote vinculado, Então seu status volta para DISPONIVEL",Ciclo de Vida,Média,Implementado,Admin,Ativos
LotService,src/services/lot.service.ts,335:335,Lances para o público geral filtram leilões/lotes em RASCUNHO ou PREPARACAO,RN-AD-010,,Não,Não,"Dado um usuário Convidado, Quando acessa a lista de lotes, Então não deve ver lotes em RASCUNHO",Visibilidade,Alta,Implementado,Convidado,Lotes
LotService,src/services/lot.service.ts,482:482,Finalização de Lote marca como ARREMATADO e registra vencedor,RN-AD-012,,Não,Não,"Dado um Lote em pregão, Quando o tempo encerra com lances, Então o lote é marcado como ARREMATADO e o vencedor é vinculado",Ciclo de Vida,Alta,Implementado,Sistema,Lotes
LotService,src/services/lot.service.ts,506:506,Lance Máximo (Auto-bid) permite que o sistema dê lances automaticamente até o limite,RN-AD-002,,Não,Não,"Dado um usuário com lance máximo de 1000, Quando um terceiro dá lance de 500, Então o sistema dá lance automático de 510 em nome do usuário",Transacional,Alta,Implementado,Arrematante,Lances
AuctionService,src/services/auction.service.ts,12:13,Leilões só podem ser abertos se possuírem pelo menos 1 Lote válido,RN-020,,Não,Não,"Dado um Leilão sem lotes, Quando o administrador tenta mudar o status para ABERTO, Então a operação deve ser bloqueada",Integridade de Dados,Alta,Implementado,Admin,Leilão
AuctionService,src/services/auction.service.ts,136:136,Ao abrir Leilão, Lotes em RASCUNHO ou EM_BREVE que estejam prontos mudam para ABERTO_PARA_LANCES,RN-020,,Não,Não,"Dado um Leilão em PREPARACAO, Quando o status muda para ABERTO_PARA_LANCES, Então todos os lotes prontos também mudam para ABERTO_PARA_LANCES",Ciclo de Vida,Alta,Implementado,Sistema,Leilão
AuctionService,src/services/auction.service.ts,168:168,Ao encerrar Leilão, todos os Lotes abertos são encerrados automaticamente,RN-AD-012,,Não,Não,"Dado um Leilão ABERTO, Quando seu status muda para ENCERRADO, Então todos os lotes vinculados mudam para ENCERRADO",Ciclo de Vida,Alta,Implementado,Sistema,Leilão
AuctionService,src/services/auction.service.ts,403:403,Excluir Leilão só é permitido se não houver lotes associados,RN-AD-012,,Não,Não,"Dado um Leilão com 5 lotes, Quando o administrador tenta excluir o leilão, Então a operação deve ser negada com erro informativo",Integridade de Dados,Média,Implementado,Admin,Leilão
